Timestamp,Gender,Age,Nationality,Current Country of Residence,Current State of Residence,Current City of Residence,Highest Level of Education,Name of Highest Degree Obtained,Name of School or University,Is your degree tech related?,Did you go through a bootcamp to learn technical skills?,"Professional Certification (Eg. CCNA, CEH, GCP Cloud Associate)",Name of Bootcamp Course ,Name of Professional Certification(s),Job Title,What is your currency code?,What is your current monthly base salary?,What is your current bonus compensation per year?,What is your current equity (stock) compensation per year?,How many days of annual leave are you entitled to?,Company Benefits,What technologies do you use for work on a regular basis?,Company Location,Company Industry,What is the size of your company?,What is the size of your tech team? ,What's the name of your company? [Optional],Satisfaction Level of Current Job,Years of Experience,Number of past employments/jobs (excluding the current one),What was your starting monthly salary?,Indicate in 3-character currency code for starting monthly salary
26/07/2021 20:04:28,Male,41,Malaysian,Singapore,,,Masters Degree,Masters of Computer Science,CMU,Yes,No,No,,,CTO,SGD,2000,0,"SGD 1,000,000",18,Learning and Development,The Internet,Singapore,Robotics,11-50 employees,2 - 10 people,,10,20,5,1000,
26/07/2021 20:04:50,Male,28,Malaysian,Malaysia,Negeri Sembilan,Tampin,"Pre-university (STPM, A-Levels, Matriculation, CPU, IB, etc.)",,Taruc,N/A,No,No,,,Front end team lead,MYR,4500,,,18,"Vacation/Personal Days, Remote Work","Angular, NestJS, Laravel, WordPress, NextJS","Johor, Malaysia","Transport, Logistics",1-10 employees,2 - 10 people,,8,5,6,4500,
26/07/2021 20:05:11,Male,23,Malaysian,Malaysia,Kuala Lumpur,Kuala Lumpur,Undergraduate Degree,Bachelor of Computer Science,Monash University ,Yes,No,No,,,Associate Developer,MYR,5000,0,0,16,"Health Insurance, Life Insurance, Paternity Leave, Vacation/Personal Days, Gym/Wellness Reimbursement, Company Laptop",Configura Magic,"Kuala Lumpur, Malaysia",Space planning,201-1000 employees,51 - 200 people,Configura ,7,0,0,5000,
26/07/2021 20:05:17,Female,25,Malaysian,Malaysia,,,Undergraduate Degree,Bachelor of Computer Science,,Yes,No,Yes,,"AWS SA, ITIL v4",Supporr Engineer,MYR,17000,,,99,"Sick Time (Unlimited), Free Drinks, Learning and Development, Company Laptop, Phone Bill Reimbursement","Terminal, Zendesk, slack","California, United States",Business,"1,001-10,000 employees",11 - 50 people,,10,3,2,3000,
26/07/2021 20:05:33,Male,22,Malaysian,Malaysia,Selangor,Puchong,Undergraduate Degree,Bachelor of Software System Development,Tunku Abdul Rahman University College (TAR UC),Yes,No,No,,,Application Engineer,MYR,4000,0,0,16,"Life Insurance, Company Laptop",.NET ,Petaling Jaya,Business,201-1000 employees,2 - 10 people,,8,1,0,4000,
26/07/2021 20:06:58,Male,27,Malaysian,Malaysia,Perak,Kampar,Undergraduate Degree,Bachelor of Computer Science,University Tunku Abdul Rahman,Yes,No,No,,,Tech Lead,MYR,4000,3000,0,0,"Dental Insurance, Vacation/Personal Days, Sick Time (Unlimited), Free Snacks, Employee Discount, Learning and Development, Company Laptop",Laravel,"Kampar, Perak",Retail / ecommerce,1-10 employees,2 - 10 people,,8,7,0,2500,
26/07/2021 20:07:28,Male,31,Malaysian,Malaysia,KL,KL,Undergraduate Degree,Bachelor of Computer Sciene,UTeM,Yes,No,No,,,Senior Frontend Developer,MYR,9500,9500,0,14,"Life Insurance, Dental Insurance, Transport Allowance","react, js, redux",KL,Communication,11-50 employees,Team of 1,,9,7,3,2800,
26/07/2021 20:07:32,Male,27,Malaysian,Malaysia,Penang,Bayan Lepas,Masters Degree,Masters of mechatronics engineering,University of Malaya,Yes,No,No,,,R&D engineer,MYR,5500,5500,0,14,"Paternity Leave, Vacation/Personal Days, Company Laptop","Computer Vision,  .Net, Deep learning,  machine learning","Penang, Malaysia","Industrials (Manufacturing, Construction, etc.)",11-50 employees,2 - 10 people,,5,4,1,3300,
26/07/2021 20:08:16,Male,24,Malaysian,Malaysia,KL,KL,Undergraduate Degree,Bachelor of Mechanical Engineering,Universiti Teknologi Malaysia,N/A,No,No,,,machine learning engineer,MYR,4000,0,0,14,Health Insurance,python,kl,Financial Services,51-200 employees,2 - 10 people,,7,1,1,4000,
26/07/2021 20:08:28,Male,27,Malaysian,Malaysia,Penang,George Town,Undergraduate Degree,Bachelor of Computer Science,University Technical Malaysia Melaka,Yes,No,No,,,Data Scientist,MYR,5100,10200,0,14,"Health Insurance, Dental Insurance, Learning and Development, Tuition Reimbursement, Transport Allowance, Company Laptop","Python, Google Cloud platform","Batu Kawan, Penang","Industrials (Manufacturing, Construction, etc.)",">10,000employees",2 - 10 people,,8,2,3,3000,
